,first_name,last_name,city,state,country,nationality,pdga_num,player_rating,rating_effective_date,player_class,result_id,tournament_division,tournament_place,tied_finish,formatted_place,shot_total,tournament_total_to_par,prize_usd,tournament_dnf,tournament_average_rating,tournament_rating_delta,score_id,round,tee_time,course_name,layout_name,par,round_score,score_to_par,round_dnf,num_birdies,num_bogeys,round_rating,num_holes,layout_length,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Evan,Arteaga,San Juan, PR,US,,45454,891,2025-10-14,Amateur,212123299,MA40,1,False,1st,161,25,0,False,906,15,26436797,1,09:00:00,Nockamixon State Park,HooDoo,68,74,6,False,2,8,947,18,9289,6,3,2,4,4,5,4,4,5,4,4,4,5,5,3,3,5,4
1,Evan,Arteaga,San Juan, PR,US,,45454,891,2025-10-14,Amateur,212123299,MA40,1,False,1st,161,25,0,False,906,15,26449597,2,12:35:01,Nockamixon State Park,HooDoo,68,87,19,False,0,19,864,18,9289,8,4,4,4,3,5,5,6,5,4,5,3,8,6,3,3,5,6
2,Joshua,Mason,Richlandtown, PA,US,,140323,929,2025-09-09,Amateur,212171797,MA40,2,False,2nd,164,28,0,False,896,-33,26436799,1,09:00:00,Nockamixon State Park,HooDoo,68,83,15,False,0,15,888,18,9289,7,5,3,7,3,5,3,4,5,4,5,3,4,7,3,5,5,5
3,Joshua,Mason,Richlandtown, PA,US,,140323,929,2025-09-09,Amateur,212171797,MA40,2,False,2nd,164,28,0,False,896,-33,26449599,2,12:35:01,Nockamixon State Park,HooDoo,68,81,13,False,0,13,903,18,9289,7,4,3,4,4,5,4,5,5,6,4,4,5,6,3,3,5,4
4,Jared,Secor,Garrison, NY,US,,30064,912,2025-08-12,Amateur,212123300,MA40,3,False,3rd,169,33,0,False,880,-32,26436798,1,09:00:00,Nockamixon State Park,HooDoo,68,90,22,False,1,23,843,18,9289,10,5,2,5,4,5,5,6,4,5,5,3,4,7,4,3,6,7
5,Jared,Secor,Garrison, NY,US,,30064,912,2025-08-12,Amateur,212123300,MA40,3,False,3rd,169,33,0,False,880,-32,26449598,2,12:35:01,Nockamixon State Park,HooDoo,68,79,11,False,0,11,916,18,9289,6,4,3,5,3,4,3,4,6,5,5,3,4,7,3,4,5,5
6,Scott “Scooter”,Fort,Lawrence, NJ,US,,154603,902,2025-10-14,Amateur,212141249,MA50,1,False,1st,157,21,0,False,919,17,26438040,1,09:00:00,Nockamixon State Park,HooDoo,68,78,10,False,0,10,921,18,9289,7,5,3,5,3,5,4,6,4,5,4,3,5,5,3,3,4,4
7,Scott “Scooter”,Fort,Lawrence, NJ,US,,154603,902,2025-10-14,Amateur,212141249,MA50,1,False,1st,157,21,0,False,919,17,26449879,2,12:38:01,Nockamixon State Park,HooDoo,68,79,11,False,0,11,916,18,9289,5,5,3,4,3,4,3,4,4,6,5,3,6,6,4,4,5,5
8,Martin,Binder,Macungie, PA,US,US,124814,898,2025-09-09,Amateur,212115386,MA50,2,False,2nd,165,29,0,False,893,-5,26438039,1,09:00:00,Nockamixon State Park,HooDoo,68,82,14,False,1,15,895,18,9289,9,3,3,5,4,4,4,5,4,5,4,3,4,9,3,3,4,6
9,Martin,Binder,Macungie, PA,US,US,124814,898,2025-09-09,Amateur,212115386,MA50,2,False,2nd,165,29,0,False,893,-5,26449878,2,12:38:01,Nockamixon State Park,HooDoo,68,83,15,False,0,15,890,18,9289,8,5,3,5,4,4,4,5,6,4,4,4,5,6,3,3,5,5
