,first_name,last_name,city,state,country,nationality,pdga_num,player_rating,rating_effective_date,player_class,result_id,tournament_division,tournament_place,tied_finish,formatted_place,shot_total,tournament_total_to_par,prize_usd,tournament_dnf,tournament_average_rating,tournament_rating_delta,score_id,round,tee_time,course_name,layout_name,par,round_score,score_to_par,round_dnf,num_birdies,num_bogeys,round_rating,num_holes,layout_length,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Harry,Chace,East Greenwich, RI,US,US,131546,1023,2025-08-12,Professional,211586222,MPO,1,False,1st,120,-11,660,False,1031,8,25450418,1,14:36:00,Nockamixon State Park,LVO 2025,68,61,-7,False,8,1,1032,18,9325,4,4,3,4,2,3,3,4,4,3,3,2,5,5,2,3,3,4
1,Harry,Chace,East Greenwich, RI,US,US,131546,1023,2025-08-12,Professional,211586222,MPO,1,False,1st,120,-11,660,False,1031,8,25483066,2,14:36:00,The Preserve Disc Golf Course,LVO 2025 ,63,59,-4,False,7,3,1030,18,9073,3,3,3,2,3,4,4,4,4,4,3,2,3,4,3,3,2,5
2,Dylan,Horst,West Chester, PA,US,,32599,1008,2025-08-12,Professional,211586679,MPO,5,True,T-5th,124,-7,230,False,1017,9,25449101,1,14:00:00,Nockamixon State Park,LVO 2025,68,62,-6,False,7,1,1025,18,9325,4,4,2,3,3,3,3,4,4,4,3,2,5,4,3,3,4,4
3,Dylan,Horst,West Chester, PA,US,,32599,1008,2025-08-12,Professional,211586679,MPO,5,True,T-5th,124,-7,230,False,1017,9,25483067,2,14:36:00,The Preserve Disc Golf Course,LVO 2025 ,63,62,-1,False,4,3,1008,18,9073,3,4,2,2,3,4,4,4,3,4,3,3,5,4,4,3,3,4
4,Mike,Carman,Ottsville, PA,US,,48559,992,2025-08-12,Professional,211653303,MPO,2,True,T-2nd,122,-9,420,False,1024,32,25449681,1,14:24:00,Nockamixon State Park,LVO 2025,68,62,-6,False,7,1,1025,18,9325,5,4,2,4,3,3,4,3,4,4,3,2,4,4,2,3,4,4
5,Mike,Carman,Ottsville, PA,US,,48559,992,2025-08-12,Professional,211653303,MPO,2,True,T-2nd,122,-9,420,False,1024,32,25483068,2,14:36:00,The Preserve Disc Golf Course,LVO 2025 ,63,60,-3,False,5,2,1023,18,9073,4,3,2,4,4,3,3,4,3,3,2,3,4,4,4,3,3,4
6,RJ,Chirkis,Hawthorne, NJ,US,,193310,972,2025-08-12,Amateur,211863789,MPO,17,True,T-17th,134,3,0,False,981,9,25436519,1,11:36:00,Nockamixon State Park,LVO 2025,68,62,-6,False,8,2,1025,18,9325,5,3,2,3,3,3,4,3,4,3,3,4,3,5,3,3,4,4
7,RJ,Chirkis,Hawthorne, NJ,US,,193310,972,2025-08-12,Amateur,211863789,MPO,17,True,T-17th,134,3,0,False,981,9,25483069,2,14:36:00,The Preserve Disc Golf Course,LVO 2025 ,63,72,9,False,3,12,937,18,9073,3,3,2,2,5,5,2,4,3,4,3,4,6,5,4,10,3,4
8,Zackary,Doyle,Warwick, NY,US,,21441,985,2025-08-12,Professional,211586118,MPO,7,True,T-7th,126,-5,200,False,1010,25,25445286,1,13:24:00,Nockamixon State Park,LVO 2025,68,64,-4,False,7,3,1012,18,9325,5,5,3,3,4,3,3,4,4,3,4,2,3,4,3,3,3,5
9,Zackary,Doyle,Warwick, NY,US,,21441,985,2025-08-12,Professional,211586118,MPO,7,True,T-7th,126,-5,200,False,1010,25,25482269,2,14:24:00,The Preserve Disc Golf Course,LVO 2025 ,63,62,-1,False,5,4,1008,18,9073,2,3,2,3,4,4,3,5,2,4,5,4,4,3,4,3,3,4
